City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,zhezqazghan,47.7833,67.7667,14.32,67,20,2.0,KZ,1695785605
192,tazovsky,67.4667,78.7,1.78,71,99,5.7,RU,1695785605
193,goundam,16.4145,-3.6708,33.75,35,38,3.3,ML,1695785605
194,allapalli,19.4167,80.0667,29.47,76,67,0.87,IN,1695785605
195,katabu,-4.9333,122.5167,33.87,32,39,3.28,ID,1695785606
196,pimentel,-6.8367,-79.9342,20.16,83,0,7.2,PE,1695785606
197,san fernando de apure,7.8878,-67.4724,25.73,85,31,0.32,VE,1695785606
198,pestovo,58.5938,35.8024,7.08,93,23,1.78,RU,1695785606
199,fort st. john,56.2499,-120.8529,11.94,54,75,1.54,CA,1695785607
200,olinda,-8.0089,-34.8553,25.85,73,40,3.09,BR,1695785428
201,kushima,31.4583,131.2333,30.51,58,0,2.36,JP,1695785607
202,estevan,49.1334,-102.9842,14.19,82,0,6.17,CA,1695785505
203,siwa oasis,29.2041,25.5195,25.52,34,0,3.94,EG,1695785608
204,iskateley,67.6803,53.1512,4.03,91,98,6.56,RU,1695785608
205,whakatane,-37.9585,176.9854,16.4,76,73,3.58,NZ,1695785608
206,wewak,-3.5534,143.6268,27.22,80,97,3.52,PG,1695785608
207,nabunturan,7.5833,126.0167,30.82,66,90,1.92,PH,1695785609
208,flying fish cove,-10.4217,105.6791,25.82,78,75,7.2,CX,1695785609
209,limon,10.0,-83.0333,25.59,83,81,2.15,CR,1695785609
210,bridgewater,44.3835,-64.5155,11.82,90,0,2.06,CA,1695785609
211,smithers,54.7804,-127.1743,12.18,71,100,2.06,CA,1695785610
212,wildwood,38.5828,-90.6629,19.92,91,75,3.6,US,1695785545
213,port mathurin,-19.6833,63.4167,22.83,70,16,8.73,MU,1695785610
214,xinyuan,37.3,99.0,8.05,38,100,3.15,CN,1695785610
215,al marj,32.488,20.8317,18.54,76,10,3.19,LY,1695785610
216,itaituba,-4.2761,-55.9836,28.09,47,20,1.06,BR,1695785611
217,peachtree city,33.3968,-84.5958,23.23,90,40,2.06,US,1695785611
218,prince rupert,54.3161,-130.3201,14.05,82,100,13.89,CA,1695785611
219,elva,58.2225,26.4211,11.23,91,100,2.06,EE,1695785611
220,villamontes,-21.25,-63.5,19.35,72,100,4.29,BO,1695785612
221,nova sintra,14.8667,-24.7167,23.58,79,98,6.3,CV,1695785612
222,lorengau,-2.0226,147.2712,25.55,89,100,3.35,PG,1695785612
223,zhangye,38.9342,100.4517,20.19,31,17,2.29,CN,1695785612
224,oloron-sainte-marie,43.1944,-0.6107,14.76,79,75,1.81,FR,1695785613
225,codrington,-38.2667,141.9667,14.43,60,55,4.58,AU,1695785613
226,alofi,-19.0595,-169.9187,25.94,65,40,6.17,NU,1695785477
227,morrope,-6.5417,-80.0111,20.06,84,10,5.31,PE,1695785613
228,saipan,15.1355,145.701,30.39,79,40,4.63,MP,1695785614
229,chita,52.0333,113.55,14.94,36,76,6.0,RU,1695785614
230,castillos,-34.1667,-53.8333,9.26,95,100,5.38,UY,1695785602
231,tazacorte,28.629,-17.9293,23.54,69,75,4.63,ES,1695785614
232,port lincoln,-34.7333,135.8667,16.16,57,3,5.06,AU,1695785615
233,ceerigaabo,10.6162,47.368,19.19,67,31,3.8,SO,1695785615
234,casalbordino-miracoli,42.1535,14.5991,20.28,64,0,3.44,IT,1695785615
235,onega,63.9061,38.1404,9.65,96,45,3.37,RU,1695785615
236,midvagur,62.0511,-7.1939,10.46,93,75,2.57,FO,1695785616
237,solnechnyy,50.7214,136.6319,16.64,73,78,2.79,RU,1695785616
238,geraldton,-28.7667,114.6,35.23,20,0,8.23,AU,1695785616
239,taghazout,30.5426,-9.7112,18.43,90,9,1.0,MA,1695785617
240,santarem,-2.4431,-54.7083,28.07,89,0,2.06,BR,1695785429
241,sari,36.5633,53.0601,19.77,94,100,4.12,IR,1695785446
242,hadibu,12.65,54.0333,26.63,83,65,3.21,YE,1695785617
243,soto la marina,23.7667,-98.2167,24.59,89,0,2.23,MX,1695785617
244,taltal,-25.4,-70.4833,15.44,73,0,1.52,CL,1695785421
245,san sebastian de la gomera,28.0916,-17.1133,23.42,83,20,2.57,ES,1695785618
246,nagqu,31.5,92.0,12.44,40,5,5.45,CN,1695785618
247,vilyuysk,63.7553,121.6247,8.86,46,100,3.86,RU,1695785618
248,mos,43.1567,-7.5505,14.29,40,100,1.08,ES,1695785619
249,kinablangan,7.6947,126.5503,29.35,74,70,3.71,PH,1695785619
250,oberhausen,51.4667,6.85,15.75,86,15,1.5,DE,1695785619
251,pocone,-16.2567,-56.6228,31.72,30,85,2.35,BR,1695785619
252,at taj,24.2049,23.2857,24.64,19,0,4.89,LY,1695785620
253,hawaiian paradise park,19.5933,-154.9731,26.73,74,20,3.09,US,1695785401
254,neiafu,-18.65,-173.9833,28.38,65,20,5.14,TO,1695785620
255,boguchany,58.3814,97.4531,11.96,49,4,1.6,RU,1695785620
256,annau,37.8876,58.516,19.72,28,40,4.12,TM,1695785621
257,anar darah,32.7587,61.654,20.2,23,0,4.85,AF,1695785621
258,udachny,66.4167,112.4,1.92,80,100,8.57,RU,1695785621
259,antonio enes,-16.2325,39.9086,22.65,85,0,3.68,MZ,1695785621
260,richards bay,-28.783,32.0377,18.45,58,75,5.03,ZA,1695785622
261,cayambe,0.05,-78.1333,10.59,82,27,2.0,EC,1695785622
262,phongsali,21.6833,102.1058,16.96,99,100,0.56,LA,1695785623
263,arraial do cabo,-22.9661,-42.0278,21.94,92,96,7.76,BR,1695785623
264,kharabali,47.4196,47.2568,18.94,49,5,3.39,RU,1695785429
265,ulsteinvik,62.3432,5.8487,17.5,79,97,4.92,NO,1695785623
266,quellon,-43.1167,-73.6167,8.36,94,100,6.06,CL,1695785624
267,menomonie,44.8755,-91.9193,16.26,94,85,3.36,US,1695785624
268,san borja,-14.8167,-66.85,28.88,50,3,1.23,BO,1695785624
269,kerikeri,-35.2268,173.9474,18.28,68,29,2.68,NZ,1695785624
270,palopo,-2.9996,120.1921,28.88,60,96,3.08,ID,1695785624
271,kamensk-ural'skiy,56.4185,61.9329,10.65,70,100,3.74,RU,1695785625
272,coquimbo,-29.9533,-71.3436,12.85,76,0,1.54,CL,1695785625
273,kribi,2.95,9.9167,25.08,91,44,2.18,CM,1695785625
274,mali,12.079,-12.2982,15.73,94,100,1.01,GN,1695785625
275,luderitz,-26.6481,15.1594,17.33,38,0,3.11,NA,1695785626
276,konotop,51.2403,33.2026,11.21,90,24,2.94,UA,1695785626
277,mandalgovi,45.7625,106.2708,7.75,36,0,4.91,MN,1695785626
278,lensk,60.7253,114.9278,11.05,48,100,3.42,RU,1695785626
279,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,33,0,2.0,RU,1695785627
280,fortuna,40.5982,-124.1573,15.51,86,0,0.0,US,1695785627
281,chaoyang,41.5703,120.4586,26.61,15,100,4.36,CN,1695785627
282,pombas,17.1503,-25.0201,24.88,81,14,5.05,CV,1695785627
283,gadzhiyevo,69.2551,33.3362,9.47,86,98,7.9,RU,1695785628
284,afaahiti,-17.75,-149.2833,25.59,88,92,5.79,PF,1695785628
285,rauma,61.1272,21.5113,12.02,95,100,3.85,FI,1695785628
286,kapoeta,4.7717,33.5903,22.26,80,57,1.44,SS,1695785629
287,tsiombe,-25.3,45.4833,23.7,59,26,1.97,MG,1695785629
288,wailua homesteads,22.0669,-159.378,29.24,67,40,8.75,US,1695785629
289,fukuecho,32.6881,128.8419,28.2,74,75,3.6,JP,1695785629
290,medicine hat,50.0501,-110.6683,19.24,40,100,6.69,CA,1695785464
291,as saffaniyah,27.9708,48.73,30.14,43,0,2.68,SA,1695785630
292,chandbali,20.7833,86.7667,31.12,65,72,2.2,IN,1695785630
293,batticaloa,7.7102,81.6924,28.93,67,99,0.81,LK,1695785630
294,la'ie,21.6477,-157.9253,28.98,73,4,4.02,US,1695785630
295,kayangel,8.0823,134.7173,28.0,80,100,10.47,PW,1695785631
296,porto novo,6.4965,2.6036,24.75,91,80,2.23,BJ,1695785500
297,prado,-17.3411,-39.2208,24.16,83,100,6.05,BR,1695785335
298,sao felix do xingu,-6.6447,-51.995,27.27,52,33,0.51,BR,1695785601
299,mata-utu,-13.2816,-176.1745,27.28,80,73,6.42,WF,1695785631
300,chipinge,-20.1883,32.6236,18.89,75,99,1.26,ZW,1695785632
301,christchurch,-43.5333,172.6333,9.15,90,100,7.72,NZ,1695784875
302,westport,41.1415,-73.3579,13.28,85,0,3.09,US,1695785601
303,crane,31.3974,-102.3501,26.36,36,30,4.72,US,1695785632
304,minas de marcona,-15.2119,-75.1103,12.4,88,89,5.92,PE,1695785632
305,cinisi,38.1562,13.1073,22.56,78,20,4.12,IT,1695785633
306,malanje,-9.5402,16.341,18.49,87,10,2.19,AO,1695785633
307,aioun,16.6614,-9.6149,30.76,49,100,4.39,MR,1695785633
308,iskilip,40.7353,34.4739,13.51,84,7,2.03,TR,1695785634
309,cartaya,37.2811,-7.1507,20.1,61,0,2.7,ES,1695785634
310,mili,6.0815,171.735,29.03,74,65,4.8,MH,1695785634
311,arkhangel'sk,64.5401,40.5433,11.34,93,100,3.31,RU,1695785634
312,kavieng,-2.5744,150.7967,27.83,78,94,2.88,PG,1695785634
313,nantucket,41.2835,-70.0995,16.03,82,0,5.14,US,1695785635
314,usinsk,65.9939,57.5281,9.55,98,100,5.2,RU,1695785635
